file_id,folder_path,file_name,size,mime_type,mod_time,md5
1jzKbQDjWJsfLIEekburWPnne0ABEvJkJ,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 01. Giao diện và vùng nhìn Sketchup 2017.mp4,92941364,video/mp4,2022-05-16T15:58:15.163Z,7332b90f8f23368dc6699aca88a70247
1ck2MyriMboV3MF3pxbJTvSf48Tfrlh6u,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 02. Giao diện và các menu lệnh Sketchup 2017.mp4,148146257,video/mp4,2023-02-07T14:44:41.988Z,109976b25a907a225e5260e8d9eaaefa
1p6Fp09_yomleeERcivsP0SOzQXr2ptNU,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 03. Sử dụng các công cụ chọn và công cụ vẽ Line - công cụ Eraser.mp4,118405869,video/mp4,2022-11-10T02:55:33.542Z,06f7291d6730d330b704a562a2054033
12BA3Y0s3rHmjmp9x_6A1AejyeTjCOKHa,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,"Bài 04. Sử dụng công cụ vẽ Rectagle, Arc, Circle kết hợp lệnh PushPull.mp4",74253456,video/mp4,2023-02-10T13:39:12.009Z,987fb8271350555e1815dfc37174587d
1_Blct6w9bTKmC5IU__JIn-4pE_Kdki-K,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 05.mp4,98159955,video/mp4,2019-10-11T04:00:32.000Z,82e138d09921732b84dc9cf7165e5781
1ALiawgRdV2Tjy1or7j-h5GDq6J0f4zro,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 06.mp4,86641664,video/mp4,2019-10-11T04:00:12.000Z,c6fbebcc51ce93d7e20d2fc421f83590
1myKG3DG7ta1C7TNMvGKU1fOsGbCsUCrp,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 07.mp4,69779063,video/mp4,2019-10-11T03:59:24.000Z,102cc70b830b8245f0e51df6cfffb8c0
1j0_59XyJQL_psvC2YEXFIr8i-3JIGdCn,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 08.mp4,88983763,video/mp4,2019-10-11T04:00:22.000Z,5606729c2b77dafaa958bf5f62e642dd
1cF8zEOjqVyk_TeIfRo03wTWd6E0LQv1e,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 09.mp4,87310401,video/mp4,2019-10-11T03:59:48.000Z,163c294fd7f72c534f9051fb94932254
1mtIsl2yFUcKuKpPNBGFEzk5RGkf426VX,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 10. Thực hành vẽ cái bàn - Ôn tập các lệnh (P.4).mp4,42002809,video/mp4,2019-10-11T03:59:56.000Z,9054f7348c17c6ccab59b2d0eaa0e00f
1N8-U4qbFPoCg56dgGdvSQjxXFPtCv8yR,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 11. Sử dụng lệnh Follow Me.mp4.mp4,131296705,video/mp4,2019-10-11T03:59:24.000Z,10a636bd6da70f112e865811a47b98ca
155vhoYXwPzER5xcr5PE37WhrbkJ-hPhj,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 12. Thực hành vẽ bàn xoay.mp4.mp4,113097181,video/mp4,2022-10-13T13:16:51.225Z,4dca0171b3ef6891ce92f22db02aff36
1joWBBnzhT7qeA03j8DaYLYt9VI0bHFv2,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 13. Sử dụng các công cụ hỗ trợ.mp4,100452975,video/mp4,2022-10-13T13:16:51.225Z,556cfc03c5d5f8416650ddb9df43a74d
1z3Kd0ahK9xMxczje_zJfskUuXEX_B2SO,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 14. Sử dụng công cụ thước đo góc và tạo trục ảo.mp4,85073907,video/mp4,2022-10-13T13:16:51.225Z,1d098cbc94852cdac4aa06736b433b2d
1jX5545JNsFMntlEbJwYbgafRRwPAipUt,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 15. Lưu ý sử dụng các lệnh chuột phải.mp4,97284894,video/mp4,2022-10-13T13:16:51.225Z,0160e65484c9e97e791989ef94f56cb4
1pcjnCif9_PWBtkvItiIwoLMD26s9N4uT,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 16. Import File Autocad vào phối cảnh Sketchup.mp4,78754777,video/mp4,2022-10-13T13:16:51.225Z,db7a22200cc355bbb45b370c4e901785
1xJRIfjo41GErxt1N74KDAMKSgf3HJtum,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 17. Dựng không gian tầng trệt.mp4,152065643,video/mp4,2019-10-11T03:59:46.000Z,84cc9e48dc1485f2b89c5242b3d1c8fc
1D20bsV9jex2pDFKZwhDJZiCXGOlNmeSd,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 18. Tạo cửa đi cho không gian tầng trệt.mp4,168960740,video/mp4,2019-10-11T03:59:32.000Z,75d9bb0f04a7b3de32e317a8e47d035c
1_FHYbrIvfi0o77xSh3-qBsZzaaS-EOTa,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 19. Dựng không gian lầu.mp4,174835817,video/mp4,2019-10-11T04:00:22.000Z,ac132b6af603f2ed60ad74859fb6c4fa
1c2zvoJbUJogPsWyYFN1PBTaEr13NEQ0w,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 20. Tạo tường và không gian trên lầu.mp4,134227947,video/mp4,2019-10-11T03:59:50.000Z,82ac104e0059838d80dcdaff38d38fd0
1jWjRgWtgwOwb27jKHv_k10-SDls7jToG,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 21.mp4,125923300,video/mp4,2019-10-11T03:59:42.000Z,16388690962bb040fcdf7270a7b1bda2
1QOnNy4_Lhbz20SV9CYhja8grJXLKrtmm,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 22. Tạo mái cho phối cảnh.mp4,140698136,video/mp4,2019-10-11T03:59:52.000Z,3b522ebfda58a4b8cf34ee265c9acf07
1rWDxmbRWjCx83JZxTAM4GGBT6iGfDw8h,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 23. Tạo chỉ tường.mp4,66160407,video/mp4,2019-10-11T04:00:20.000Z,b0b36c6234e2a48352f6855fc02ac050
1Vkh_oRj1BKKHFudyg9qCwFdd9k6b32gz,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 24. Tạo cửa sổ tầng trệt.mp4,170604327,video/mp4,2019-10-11T04:00:16.000Z,6cbc9ce38d92013be7657bd243aae537
1kpZVSsP2md86duAchrMpstPHXg_jC7OQ,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 25. Hoàn thiện cửa sổ.mp4,68172946,video/mp4,2019-10-11T04:00:26.000Z,ca60ba7145cd82d55a1901a14462c77c
1KWW-ksOCdGFCR7tZwcoiP7_Vv3_-B0Iu,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 26. Hoàn thiện cửa đi cho phối cảnh.mp4,138335864,video/mp4,2019-10-11T04:00:24.000Z,7f1afa12e4d8e2fc03b455abb41fa93b
1TXd5m-aP776Ee3nR9OC-irEbkWJPjbqA,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 27. Hoàn thiện cửa đi cho nội thất.mp4,89755787,video/mp4,2019-10-11T03:59:34.000Z,bbd50ce7ce184ac94387af43d9981f2b
1EiChUR5JN__UmxFBhRghn6rfuyVj56Hf,21. Sketchup 7K + Kho dữ liệu //1. Làm Chủ Thiết Kế Với Sketchup 2017 Và Vray,Bài 28. Tạo lan can cho phối cảnh.mp4,130409093,video/mp4,2019-10-11T03:59:20.000Z,de2dcab950ffebda718fe005328d35d7
