file_id,folder_path,file_name,size,mime_type,mod_time,md5
1tmu3hPKd3o3nMgbz2fxgAzYHZqIF-exU,21. Sketchup 7K + Kho dữ liệu /Tài liệu/0. UPDATE 26.10.2022/8. THIẾT KẾ BẾP/ĐỒ GIA DỤNG BẾP/NOI CHEN DIA,0.skp,1072947,application/octetstream,2013-12-10T03:09:18.496Z,51492b9789fba6c5748da2c8d46bb8ce
1TWKQnEQRNwdBMiEPD_8kQUAI7DWDiRQJ,21. Sketchup 7K + Kho dữ liệu /Tài liệu/0. UPDATE 26.10.2022/8. THIẾT KẾ BẾP/ĐỒ GIA DỤNG BẾP/NOI CHEN DIA,09-01.skp,5966832,application/octetstream,2014-08-04T22:47:52.280Z,b1030f3d98ad7c9287ae0120a3513be9
1szEo_JmnH-TjvSS9WAy0riz5Wyeh5pC1,21. Sketchup 7K + Kho dữ liệu /Tài liệu/0. UPDATE 26.10.2022/8. THIẾT KẾ BẾP/ĐỒ GIA DỤNG BẾP/NOI CHEN DIA,09-02.skp,6052390,application/octetstream,2014-08-04T23:56:36.173Z,2ae0383e825ee27ff855215fb8be19e7
1i8ETGKca4PcVJ8sWm86BFtAlbqJRI-Yt,21. Sketchup 7K + Kho dữ liệu /Tài liệu/0. UPDATE 26.10.2022/8. THIẾT KẾ BẾP/ĐỒ GIA DỤNG BẾP/NOI CHEN DIA,09-03.skp,5570321,application/octetstream,2014-08-05T00:05:58.182Z,71f7f7c8d835d84ca45a9d561c73f211
1N7rxOcM_9uP9ZP1RhPcpiSrcVAX8ycX4,21. Sketchup 7K + Kho dữ liệu /Tài liệu/0. UPDATE 26.10.2022/8. THIẾT KẾ BẾP/ĐỒ GIA DỤNG BẾP/NOI CHEN DIA,09-04.skp,8144883,application/octetstream,2014-08-05T18:29:34.656Z,41a29ca4fdc13e9fff6363c78bc9d1c5
1Yk_2kRNCr0Et9QqI_K10wjqoA5Yb0xmB,21. Sketchup 7K + Kho dữ liệu /Tài liệu/0. UPDATE 26.10.2022/8. THIẾT KẾ BẾP/ĐỒ GIA DỤNG BẾP/NOI CHEN DIA,09-05.skp,16409923,application/octetstream,2014-08-05T18:35:28.121Z,cf8313d39ee237adf6ab499425391ff0
15Hcnkh7OU4czs6lzlId6b2dUoOyFelAP,21. Sketchup 7K + Kho dữ liệu /Tài liệu/0. UPDATE 26.10.2022/8. THIẾT KẾ BẾP/ĐỒ GIA DỤNG BẾP/NOI CHEN DIA,09-06.skp,24753774,application/octetstream,2014-08-05T11:02:13.433Z,982fe598fb6b283f161ee717b0c68302
1ECVAQBZmNH6cYD4MdfwbLx0PxmMjAmxQ,21. Sketchup 7K + Kho dữ liệu /Tài liệu/0. UPDATE 26.10.2022/8. THIẾT KẾ BẾP/ĐỒ GIA DỤNG BẾP/NOI CHEN DIA,09-07.skp,2321753,application/octetstream,2014-08-05T11:16:47.677Z,612154702f26ed74390ad0b19bcdc0be
1t7pgMSE7T5hdMHPq6Ur9gUyPUq0Lq21p,21. Sketchup 7K + Kho dữ liệu /Tài liệu/0. UPDATE 26.10.2022/8. THIẾT KẾ BẾP/ĐỒ GIA DỤNG BẾP/NOI CHEN DIA,09-08.skp,2444999,application/octetstream,2014-08-05T18:40:56.852Z,dbcd870ace68dd2c2591fa491ff83f8f
1X9QcBXAI5gaNajEY04MTb1OLb02Mtn28,21. Sketchup 7K + Kho dữ liệu /Tài liệu/0. UPDATE 26.10.2022/8. THIẾT KẾ BẾP/ĐỒ GIA DỤNG BẾP/NOI CHEN DIA,09-09.skp,907717,application/octetstream,2014-08-05T18:42:15.486Z,bb6c326fd0e5ab2dcfec4a927c3f9407
